
;────────────
;汎用文字列変数
;────────────

;<※>       現在定義(代入)が行われていないフラグ
;!抹消予定! 抹消予定フラグ(主に後方互換のため存在)

;────────────────────────────────────
;調教指令名称(ACT) 通常行動0-199
;────────────────────────────────────

;-------------------------------------------------
;会話系
;-------------------------------------------------
0,今の気分を聞く
1353,4V___ヴァギナを拡張した___膣拡張を受けた,              ;【屈服:53】Ｖ拡張(フィスト/両穴フィスト時)
1354,4A___アヌスを拡張した___アヌス拡張を受けた,            ;【屈服:54】Ａ拡張(Aフィスト/両穴フィスト時)
1355,4P___抜かずの三戦目___抜かずの三発,                    ;【屈服:55】抜かずの三発(抜かずの二発後挿入を中断せず射精)
1356,4A___失神させた___失神した,                            ;【屈服:56】失神
;                                                           Lv5(57～58) 屈服ポイント+10
1357,5V___処女を奪った___処女喪失した,                      ;【屈服:57】処女喪失
1358,5P___童貞を奪った___童貞喪失した,                      ;【屈服:58】童貞喪失
;   以下、追加分                                            LvX(59～111)屈服ポイント+X
1359,3F___潮吹きさせた___潮吹きした,                        ;【屈服:59】潮吹き
1360,3V___膣内射精でＶ絶頂させた___膣に射精されて絶頂した,  ;【屈服:60】膣内射精Ｖ絶頂(調教者に膣内射精されたと同時に調教対象がＶ絶頂)
1361,4V___四重絶頂させた___四重絶頂した,                    ;【屈服:61】四重絶頂
1362,1V___愛液を溢れさせた___愛液が溢れた,                  ;【屈服:62】濡れた(潤滑1000突破)


;------------------------------------------------------------------------
;   口上独自実績システム
;STR:1412～1427の代わりにCSTR:TARGET:70～85を参照します
;さらにFORM文字列を展開したりはしませんが、そこは口上担当者が上手い事やってくれるはずです。いいね？
;あとは口上から@MARK_CHECK_GETを呼ぶなり、@KOJO_CHECK_SURRENDER_KX内で判定するなりすれば大体OK
;タイミングが特殊なものは余程上手い事やっても作れないかもしれないけど…
;------------------------------------------------------------------------
;   以下、口上用リザーブ                                    LvX(112～127)屈服ポイント+X
1412,%CSTR:TARGET:口上独自実績1%,                           ;【屈服:112】口上独自実績用リザーブ1
1413,%CSTR:TARGET:口上独自実績2%,                           ;【屈服:113】口上独自実績用リザーブ2
1414,%CSTR:TARGET:口上独自実績3%,                           ;【屈服:114】口上独自実績用リザーブ3
1415,%CSTR:TARGET:口上独自実績4%,                           ;【屈服:115】口上独自実績用リザーブ4
1416,%CSTR:TARGET:口上独自実績5%,                           ;【屈服:116】口上独自実績用リザーブ5
1417,%CSTR:TARGET:口上独自実績6%,                           ;【屈服:117】口上独自実績用リザーブ6
1418,%CSTR:TARGET:口上独自実績7%,                           ;【屈服:118】口上独自実績用リザーブ7
1419,%CSTR:TARGET:口上独自実績8%,                           ;【屈服:119】口上独自実績用リザーブ8
1420,%CSTR:TARGET:口上独自実績9%,                           ;【屈服:120】口上独自実績用リザーブ9
1421,%CSTR:TARGET:口上独自実績10%,                          ;【屈服:121】口上独自実績用リザーブ10
1422,%CSTR:TARGET:口上独自実績11%,                          ;【屈服:122】口上独自実績用リザーブ11
1423,%CSTR:TARGET:口上独自実績12%,                          ;【屈服:123】口上独自実績用リザーブ12
1424,%CSTR:TARGET:口上独自実績13%,                          ;【屈服:124】口上独自実績用リザーブ13
1425,%CSTR:TARGET:口上独自実績14%,                          ;【屈服:125】口上独自実績用リザーブ14
1426,%CSTR:TARGET:口上独自実績15%,                          ;【屈服:126】口上独自実績用リザーブ15
1427,%CSTR:TARGET:口上独自実績16%,                          ;【屈服:127】口上独自実績用リザーブ16
;────────────────────────────────────


;～1600

;3000～3100 <※>予約
